dataset_version,family,parameter,arch_seed,arch_id,gates_json,energy,exact,gap,label_steps,label_restarts,depth,n_single,n_double,n_parameters,high_energy,high_gap,high_steps,high_restarts
2026-09-v3-pauli-factor-graph,Hubbard,0.0,37,4,"[[""S"",[0,1]],[""D"",[0,1,2,3]],[""S"",[2,3]]]",-1.9998758674153636,-2.0,0.0001241325846366,60,2,3,2,1,3,-1.999999927342833,7.265716694959679e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,11,15,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""D"",[0,1,2,3]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,1]]]",-0.8282935501959012,-0.8284271247461902,0.0001335745502889,60,2,8,5,3,8,-0.8284271210889611,3.657229075137991e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,37,18,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,3]],[""S"",[2,3]],[""S"",[0,2]],[""S"",[0,1]]]",-1.9998479340936344,-2.0,0.0001520659063654,60,2,7,6,1,7,-1.9999999739653733,2.603462667671863e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,17,"[[""S"",[3,2]],[""S"",[0,3]],[""S"",[0,3]],[""S"",[0,1]]]",-1.9998403808643728,-2.0,0.0001596191356267,60,2,4,4,0,4,-1.9999999712429695,2.8757030534620753e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,23,3,"[[""D"",[0,3,1,2]],[""S"",[2,3]],[""S"",[0,3]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[0,2]],[""S"",[1,2]]]",-0.828244566231529,-0.8284271247461902,0.0001825585146612,60,2,7,6,1,7,-0.8284271133110532,1.1435136948456659e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,23,11,"[[""S"",[3,2]],[""S"",[0,1]],[""D"",[0,1,2,3]]]",-1.9998014286708556,-2.0,0.0001985713291445,60,2,3,2,1,3,-1.9999999325846427,6.741535729659631e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,51,23,"[[""S"",[3,2]],[""S"",[0,2]],[""S"",[0,1]],[""S"",[0,2]],[""S"",[0,2]],[""S"",[0,2]],[""S"",[1,3]]]",-1.9997926140747435,-2.0,0.0002073859252564,60,2,7,7,0,7,-1.9999999154570096,8.454299038618274e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,23,22,"[[""S"",[0,1]],[""S"",[2,3]],[""D"",[0,1,2,3]]]",-1.9997896070175027,-2.0,0.0002103929824972,60,2,3,2,1,3,-1.9999999960512143,3.9487857428355255e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,37,18,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[1,2]],[""S"",[0,3]],[""S"",[2,3]],[""S"",[0,2]],[""S"",[0,1]]]",-0.4719196142616146,-0.4721359549995794,0.0002163407379647,60,2,7,6,1,7,-0.47213594212596477,1.2873614618769125e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,23,19,"[[""S"",[3,2]],[""S"",[0,3]],[""S"",[0,1]],[""S"",[0,2]],[""S"",[0,1]],[""S"",[1,2]]]",-1.9997524970854,-2.0,0.0002475029146,60,2,6,6,0,6,-1.9999837206073623,1.6279392637708057e-05,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,51,18,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[0,3]],[""S"",[0,3]],[""D"",[0,1,2,3]],[""D"",[0,1,2,3]],[""S"",[2,3]]]",-0.8281623891782991,-0.8284271247461902,0.000264735567891,60,2,8,5,3,8,-0.8284271233233003,1.4228899170021236e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,51,10,"[[""S"",[0,1]],[""S"",[1,3]],[""S"",[0,2]],[""S"",[2,3]],[""S"",[2,3]]]",-1.999706518101015,-2.0,0.000293481898985,60,2,5,5,0,5,-1.9999999386571035,6.134289654013969e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,79,12,"[[""D"",[0,3,1,2]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[1,3]],[""S"",[0,2]]]",-0.8281296987408846,-0.8284271247461902,0.0002974260053055,60,2,8,6,2,8,-0.8284271240840553,6.621349024626966e-10,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,51,2,"[[""S"",[0,1]],[""D"",[0,1,2,3]],[""S"",[1,2]],[""S"",[2,3]]]",-1.9996644961141028,-2.0,0.0003355038858972,60,2,4,3,1,4,-1.999999950662038,4.933796193817841e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,23,21,"[[""D"",[0,3,1,2]],[""D"",[0,2,1,3]],[""S"",[1,3]],[""S"",[0,3]],[""S"",[0,1]],[""S"",[1,2]]]",-0.4717862412458971,-0.4721359549995794,0.0003497137536823,60,2,6,4,2,6,-0.4721359534892309,1.5103485129230876e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,11,6,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[0,3]],[""S"",[1,3]],[""D"",[0,1,2,3]],[""S"",[1,2]],[""D"",[0,2,1,3]],[""S"",[0,3]]]",-0.4717858462791431,-0.4721359549995794,0.0003501087204362,60,2,8,5,3,8,-0.4721359476968974,7.302682014653783e-09,160,5
